,Age,Amount_Month
0,42.0,96900
1,39.0,102900
2,48.0,96900
3,39.0,66900
4,60.0,66900
5,53.0,90900
6,66.0,98400
7,66.0,80400
8,62.0,102900
9,51.0,105900
10,39.0,81900
11,39.0,81900
12,35.0,90900
13,50.0,96900
14,48.0,90900
15,59.0,66900
16,61.0,96900
17,32.0,96900
18,87.0,66900
19,58.0,105900
20,43.0,66900
21,72.0,111900
22,,96900
23,,87900
24,40.0,134700
25,40.0,89400
26,73.0,66900
27,50.0,105900
28,48.0,66900
29,38.0,96900
30,,66900
31,51.0,66900
32,57.0,142200
33,48.0,96900
34,59.0,96900
35,48.0,102900
36,43.0,90900
37,,96600
38,48.0,96900
39,63.0,142200
40,63.0,96900
41,63.0,96900
42,29.0,105900
43,57.0,105900
44,65.0,96900
45,51.0,96900
46,62.0,96900
47,65.0,66900
48,37.0,98400
49,37.0,80400
50,57.0,96900
51,50.0,98400
52,50.0,80400
53,43.0,90900
54,34.0,96900
55,,96900
56,,96900
57,37.0,105900
58,42.0,96900
59,67.0,81900
60,67.0,81900
61,27.0,126900
62,55.0,90900
63,38.0,96900
64,61.0,66900
65,34.0,105900
66,55.0,105900
67,41.0,105900
68,41.0,96900
69,41.0,96900
70,42.0,96900
71,69.0,81900
72,69.0,81900
73,36.0,96900
74,56.0,96900
75,51.0,90900
76,68.0,81900
77,68.0,81900
78,60.0,124200
79,56.0,102900
80,43.0,102900
81,51.0,96900
82,56.0,105900
83,56.0,124200
84,56.0,102900
85,56.0,124200
86,56.0,102900
87,60.0,124200
88,73.0,96900
89,77.0,96900
90,35.0,111900
91,83.0,105900
92,54.0,90900
93,52.0,96900
94,60.0,96900
95,,90900
96,49.0,96900
97,52.0,96900
98,39.0,96900
99,32.0,75900
